Pos,Race No,Fav,Share,Print,Name,Time,Category,Cat Pos,Gender,Gen Pos,Pace,TOD,Start,O/Pos,C/Pos,G/Pos,Aid Station 12.99,O/Pos,C/Pos,G/Pos,Aid Station 20.32,O/Pos,C/Pos,G/Pos,Finish 31.32,O/Pos,C/Pos,G/Pos,Start,O/Pos,C/Pos,G/Pos,Aid Station 12.99,O/Pos,C/Pos,G/Pos,Aid Station 20.32,O/Pos,C/Pos,G/Pos,Finish 31.32,O/Pos,C/Pos,G/Pos
192,155,,,,Katherine Towne,06:02:36,3039,17,Female,38,11:46 min/m,14:04:36,00:00:42,378,54,117,02:29:36,226,22,46,01:58:28,177,16,32,01:34:32,180,18,40,00:00:42,378,54,117,02:29:36,226,22,46,01:58:28,177,16,32,01:34:32,180,18,40
193,216,,,,Mike Hahn,06:03:02,4049,27,Male,155,11:47 min/m,14:05:02,00:00:15,167,19,130,02:26:27,206,33,168,02:00:13,183,26,149,01:36:21,194,30,148,00:00:15,167,19,130,02:26:27,206,33,168,02:00:13,183,26,149,01:36:21,194,30,148
194,412,,,,Peter Fish,06:03:11,5059,10,Male,156,11:47 min/m,14:05:11,00:00:14,149,8,122,02:20:03,160,5,135,02:01:25,193,8,155,01:41:43,238,14,180,00:00:14,149,8,122,02:20:03,160,5,135,02:01:25,193,8,155,01:41:43,238,14,180
195,2,,,,Benjamin Leonard,06:03:35,4049,28,Male,157,11:48 min/m,14:05:35,00:00:22,231,37,172,02:25:59,205,32,167,02:01:51,196,28,157,01:35:43,189,28,145,00:00:22,231,37,172,02:25:59,205,32,167,02:01:51,196,28,157,01:35:43,189,28,145
196,443,,,,Darcy Lainchbury,06:03:38,4049,29,Male,158,11:48 min/m,14:05:38,00:00:31,314,55,226,02:29:42,224,37,179,01:57:20,172,25,143,01:36:34,198,31,151,00:00:31,314,55,226,02:29:42,224,37,179,01:57:20,172,25,143,01:36:34,198,31,151
197,82,,,,Elizabeth Reese,06:03:38,3039,18,Female,39,11:48 min/m,14:05:38,00:00:26,265,31,72,02:27:22,211,17,40,02:03:55,210,20,44,01:32:20,162,15,34,00:00:26,265,31,72,02:27:22,211,17,40,02:03:55,210,20,44,01:32:20,162,15,34
198,43,,,,Bret Simmons,06:05:21,4049,30,Male,159,11:51 min/m,14:07:21,00:00:26,268,43,196,02:26:17,207,34,169,02:05:30,218,33,173,01:33:33,168,21,131,00:00:26,268,43,196,02:26:17,207,34,169,02:05:30,218,33,173,01:33:33,168,21,131
199,50,,,,Caleb Barber,06:05:44,3039,79,Male,160,11:52 min/m,14:07:44,00:00:13,137,63,114,02:25:49,203,81,166,02:02:41,204,79,163,01:37:13,206,75,158,00:00:13,137,63,114,02:25:49,203,81,166,02:02:41,204,79,163,01:37:13,206,75,158
200,33,,,,Ben Christly,06:06:07,4049,31,Male,161,11:53 min/m,14:08:07,00:00:06,63,7,54,02:11:44,113,13,100,02:09:00,239,37,186,01:45:22,260,41,190,00:00:06,63,7,54,02:11:44,113,13,100,02:09:00,239,37,186,01:45:22,260,41,190
201,315,,,,Carson Baldwin,06:06:20,2029,38,Male,162,11:53 min/m,14:08:20,00:00:34,333,45,237,02:21:51,174,36,146,01:50:14,125,26,107,01:54:15,338,45,231,00:00:34,333,45,237,02:21:51,174,36,146,01:50:14,125,26,107,01:54:15,338,45,231
202,469,,,,Kristin Ohm-Pedersen,06:06:34,3039,19,Female,40,11:54 min/m,14:08:34,00:00:06,49,2,9,02:29:34,221,20,44,02:02:04,198,18,40,01:34:55,184,20,42,00:00:06,49,2,9,02:29:34,221,20,44,02:02:04,198,18,40,01:34:55,184,20,42
203,488,,,,Monica Marantz,06:06:38,4049,5,Female,41,11:54 min/m,14:08:38,00:00:31,312,18,88,02:37:35,257,6,58,02:01:09,191,5,37,01:27:53,125,2,24,00:00:31,312,18,88,02:37:35,257,6,58,02:01:09,191,5,37,01:27:53,125,2,24
204,521,,,,Yasushi Sasaki,06:06:49,5059,11,Male,163,11:54 min/m,14:08:49,00:00:22,238,14,175,02:31:04,229,12,181,02:02:30,203,10,162,01:33:14,165,9,130,00:00:22,238,14,175,02:31:04,229,12,181,02:02:30,203,10,162,01:33:14,165,9,130
205,9,,,,Abram Elwell,06:06:59,3039,80,Male,164,11:54 min/m,14:08:59,00:00:21,220,82,163,02:18:39,151,71,128,02:04:40,213,81,169,01:43:38,249,88,186,00:00:21,220,82,163,02:18:39,151,71,128,02:04:40,213,81,169,01:43:38,249,88,186
206,530,,,,Brian Bell,06:07:40,4049,32,Male,165,11:56 min/m,14:09:40,00:00:31,310,53,223,02:24:20,191,30,159,02:02:48,205,30,164,01:40:31,228,38,174,00:00:31,310,53,223,02:24:20,191,30,159,02:02:48,205,30,164,01:40:31,228,38,174
207,516,,,,Tom Ekstrand,06:07:49,3039,81,Male,166,11:56 min/m,14:09:49,00:00:07,73,34,63,01:44:51,23,11,23,01:48:38,111,53,95,02:34:18,402,110,271,00:00:07,73,34,63,01:44:51,23,11,23,01:48:38,111,53,95,02:34:18,402,110,271
208,161,,,,Kellie Eiswald,06:08:48,5059,2,Female,42,11:58 min/m,14:10:48,00:00:15,164,3,36,02:24:43,195,2,33,02:03:50,209,2,43,01:40:13,226,4,53,00:00:15,164,3,36,02:24:43,195,2,33,02:03:50,209,2,43,01:40:13,226,4,53
209,14,,,,Alex Bond,06:09:28,3039,82,Male,167,11:59 min/m,14:11:28,00:00:13,143,66,119,02:29:29,222,85,178,02:01:27,194,77,156,01:38:31,214,79,165,00:00:13,143,66,119,02:29:29,222,85,178,02:01:27,194,77,156,01:38:31,214,79,165
210,54,,,,Celia Schofield,06:09:40,2029,13,Female,43,12:00 min/m,14:11:40,00:00:13,145,10,26,02:26:01,204,12,38,01:58:41,178,10,33,01:44:58,256,16,68,00:00:13,145,10,26,02:26:01,204,12,38,01:58:41,178,10,33,01:44:58,256,16,68
211,98,,,,Gabriel Velazquez,06:09:55,3039,83,Male,168,12:00 min/m,14:11:55,00:00:19,211,80,158,02:27:28,210,82,171,02:05:18,216,82,171,01:37:08,202,74,154,00:00:19,211,80,158,02:27:28,210,82,171,02:05:18,216,82,171,01:37:08,202,74,154
212,109,,,,Gretchen Walla,06:10:08,3039,20,Female,44,12:01 min/m,14:12:08,00:00:14,147,12,27,02:29:01,218,19,43,02:01:44,195,17,39,01:39:22,219,25,50,00:00:14,147,12,27,02:29:01,218,19,43,02:01:44,195,17,39,01:39:22,219,25,50
213,411,,,,Noah Wintroub,06:10:25,4049,33,Male,169,12:01 min/m,14:12:25,00:00:36,344,61,243,02:29:04,220,36,177,02:04:21,211,31,167,01:36:59,201,33,153,00:00:36,344,61,243,02:29:04,220,36,177,02:04:21,211,31,167,01:36:59,201,33,153
214,10,,,,Adam Wilkinson,06:10:38,3039,84,Male,170,12:02 min/m,14:12:38,00:00:27,274,92,199,02:39:27,266,95,204,02:01:06,189,76,153,01:30:05,141,60,114,00:00:27,274,92,199,02:39:27,266,95,204,02:01:06,189,76,153,01:30:05,141,60,114
215,236,,,,Parker Dewitt,06:11:43,U20,1,Male,171,12:04 min/m,14:13:43,00:00:14,146,1,120,02:24:42,194,1,162,01:59:41,181,1,148,01:47:19,287,1,203,00:00:14,146,1,120,02:24:42,194,1,162,01:59:41,181,1,148,01:47:19,287,1,203
216,400,,,,Gwendolyn Ostrosky,06:11:45,3039,21,Female,45,12:04 min/m,14:13:45,00:00:09,93,6,15,02:32:13,234,25,50,02:06:21,227,21,48,01:33:10,164,16,35,00:00:09,93,6,15,02:32:13,234,25,50,02:06:21,227,21,48,01:33:10,164,16,35
217,396,,,,Danielle Hashem,06:12:02,4049,6,Female,46,12:04 min/m,14:14:02,00:00:17,189,8,46,02:34:55,243,5,53,02:05:08,214,7,45,01:31:58,155,4,31,00:00:17,189,8,46,02:34:55,243,5,53,02:05:08,214,7,45,01:31:58,155,4,31
218,500,,,,Rob Morley,06:13:24,3039,85,Male,172,12:07 min/m,14:15:24,00:00:22,237,85,174,02:24:32,193,80,161,02:05:58,225,86,178,01:42:53,244,86,182,00:00:22,237,85,174,02:24:32,193,80,161,02:05:58,225,86,178,01:42:53,244,86,182
219,118,,,,Jason Lichtenberger,06:14:53,4049,34,Male,173,12:10 min/m,14:16:53,00:00:13,134,16,111,02:25:47,202,31,165,02:05:36,220,34,175,01:43:29,247,39,184,00:00:13,134,16,111,02:25:47,202,31,165,02:05:36,220,34,175,01:43:29,247,39,184
220,90,,,,Eric Murphy,06:17:01,4049,35,Male,174,12:14 min/m,14:19:01,00:00:42,380,63,263,02:36:02,248,38,193,02:04:40,212,32,168,01:36:18,192,29,147,00:00:42,380,63,263,02:36:02,248,38,193,02:04:40,212,32,168,01:36:18,192,29,147
221,284,,,,Tara Vanselow,06:17:09,4049,7,Female,47,12:14 min/m,14:19:09,00:00:15,160,2,33,02:40:16,271,8,65,02:03:34,208,6,42,01:33:18,167,6,37,00:00:15,160,2,33,02:40:16,271,8,65,02:03:34,208,6,42,01:33:18,167,6,37
222,271,,,,Sharvil Shah,06:17:29,2029,39,Male,175,12:15 min/m,14:19:29,00:00:19,205,32,153,02:27:35,214,42,173,02:10:19,244,41,189,01:39:35,222,37,172,00:00:19,205,32,153,02:27:35,214,42,173,02:10:19,244,41,189,01:39:35,222,37,172
223,163,,,,Kelly Mccullough,06:17:38,4049,36,Male,176,12:15 min/m,14:19:38,00:00:29,291,49,212,02:23:02,184,28,153,02:09:01,240,38,187,01:45:34,263,42,192,00:00:29,291,49,212,02:23:02,184,28,153,02:09:01,240,38,187,01:45:34,263,42,192
224,210,,,,Michael Miller,06:17:47,5059,12,Male,177,12:15 min/m,14:19:47,00:00:25,257,17,188,02:29:51,225,11,180,02:08:59,238,15,185,01:38:55,218,11,169,00:00:25,257,17,188,02:29:51,225,11,180,02:08:59,238,15,185,01:38:55,218,11,169
225,501,,,,Rochelle Marasa,06:18:04,3039,22,Female,48,12:16 min/m,14:20:04,00:00:22,235,26,63,02:31:01,228,24,48,02:17:44,281,35,73,01:29:18,135,11,26,00:00:22,235,26,63,02:31:01,228,24,48,02:17:44,281,35,73,01:29:18,135,11,26
226,96,,,,Everett Billingslea,06:18:30,5059,13,Male,178,12:17 min/m,14:20:30,00:00:27,276,18,200,02:35:51,245,13,191,02:03:08,207,11,166,01:39:30,221,12,171,00:00:27,276,18,200,02:35:51,245,13,191,02:03:08,207,11,166,01:39:30,221,12,171
227,17,,,,Amanda Silber,06:19:20,3039,23,Female,49,12:18 min/m,14:21:20,00:00:17,192,19,48,02:24:53,197,15,35,02:12:26,254,28,60,01:42:00,239,29,59,00:00:17,192,19,48,02:24:53,197,15,35,02:12:26,254,28,60,01:42:00,239,29,59
228,357,,,,Jiro Ishiduka,06:19:32,3039,86,Male,179,12:19 min/m,14:21:32,00:00:28,283,95,206,02:28:57,219,84,176,02:09:09,242,89,188,01:41:24,235,84,177,00:00:28,283,95,206,02:28:57,219,84,176,02:09:09,242,89,188,01:41:24,235,84,177
229,25,,,,Angela Memory,06:19:36,2029,14,Female,50,12:19 min/m,14:21:36,00:00:34,336,26,99,02:27:19,213,14,41,02:06:58,230,15,50,01:45:19,259,18,70,00:00:34,336,26,99,02:27:19,213,14,41,02:06:58,230,15,50,01:45:19,259,18,70
230,202,,,,Matthew Fink,06:20:04,3039,87,Male,180,12:20 min/m,14:22:04,00:00:13,133,62,110,02:31:32,233,87,184,02:06:52,228,87,180,01:41:39,237,85,179,00:00:13,133,62,110,02:31:32,233,87,184,02:06:52,228,87,180,01:41:39,237,85,179
231,164,,,,Kelly Jensen,06:20:21,4049,8,Female,51,12:20 min/m,14:22:21,00:00:15,163,4,35,02:39:03,264,7,62,02:05:38,221,8,46,01:35:39,188,8,44,00:00:15,163,4,35,02:39:03,264,7,62,02:05:38,221,8,46,01:35:39,188,8,44
232,162,,,,Kelly Bird,06:22:04,3039,24,Female,52,12:24 min/m,14:24:04,00:00:11,114,8,20,02:38:25,259,29,60,02:07:19,231,22,51,01:36:20,193,22,46,00:00:11,114,8,20,02:38:25,259,29,60,02:07:19,231,22,51,01:36:20,193,22,46
233,81,,,,Dylan Reynolds,06:22:14,2029,40,Male,181,12:24 min/m,14:24:14,00:00:19,202,31,152,02:23:13,185,37,154,02:01:07,190,38,154,01:57:53,356,48,242,00:00:19,202,31,152,02:23:13,185,37,154,02:01:07,190,38,154,01:57:53,356,48,242
234,373,,,,Adriana Sugrue,06:22:48,2029,15,Female,53,12:25 min/m,14:24:48,00:00:18,199,13,50,02:36:03,246,17,55,02:06:55,229,14,49,01:39:49,224,11,52,00:00:18,199,13,50,02:36:03,246,17,55,02:06:55,229,14,49,01:39:49,224,11,52
235,134,,,,Jeremy Macdonough,06:23:24,3039,88,Male,182,12:26 min/m,14:25:24,00:00:40,369,109,258,02:40:12,276,98,210,02:05:43,222,85,176,01:37:28,208,76,160,00:00:40,369,109,258,02:40:12,276,98,210,02:05:43,222,85,176,01:37:28,208,76,160
236,294,,,,Tyler Vasquez,06:23:35,2029,41,Male,183,12:27 min/m,14:25:35,00:00:18,196,30,148,02:23:33,188,38,156,02:08:05,233,40,181,01:51:56,322,44,220,00:00:18,196,30,148,02:23:33,188,38,156,02:08:05,233,40,181,01:51:56,322,44,220
237,278,,,,Steve Sutorius,06:24:45,4049,37,Male,184,12:29 min/m,14:26:45,00:00:33,325,56,232,02:47:10,318,52,235,02:05:48,223,35,177,01:31:45,153,19,124,00:00:33,325,56,232,02:47:10,318,52,235,02:05:48,223,35,177,01:31:45,153,19,124
238,85,,,,Emma Robson,06:25:15,2029,16,Female,54,12:30 min/m,14:27:15,00:00:30,303,21,85,02:30:59,231,15,49,02:07:48,232,16,52,01:46:27,272,20,76,00:00:30,303,21,85,02:30:59,231,15,49,02:07:48,232,16,52,01:46:27,272,20,76
239,175,,,,Kyle Salisbury,06:25:58,2029,42,Male,185,12:31 min/m,14:27:58,00:00:25,259,38,189,02:32:32,235,44,185,02:10:25,247,42,192,01:43:00,245,39,183,00:00:25,259,38,189,02:32:32,235,44,185,02:10:25,247,42,192,01:43:00,245,39,183
240,240,,,,Patty Johnson,06:26:48,5059,3,Female,55,12:33 min/m,14:28:48,00:00:33,324,8,93,02:35:31,244,3,54,02:10:00,243,3,55,01:41:16,234,5,58,00:00:33,324,8,93,02:35:31,244,3,54,02:10:00,243,3,55,01:41:16,234,5,58
241,519,,,,Wiebke Straub,06:26:54,3039,25,Female,56,12:33 min/m,14:28:54,00:00:22,232,23,60,02:33:42,237,26,51,02:13:31,256,29,61,01:39:39,223,26,51,00:00:22,232,23,60,02:33:42,237,26,51,02:13:31,256,29,61,01:39:39,223,26,51
242,502,,,,Ryne Melcher,06:27:38,3039,89,Male,186,12:35 min/m,14:29:38,00:00:08,77,37,66,02:31:36,232,86,183,02:08:37,237,88,184,01:47:24,288,92,204,00:00:08,77,37,66,02:31:36,232,86,183,02:08:37,237,88,184,01:47:24,288,92,204
243,166,,,,Kendall Kreft,06:28:08,5059,14,Male,187,12:36 min/m,14:30:08,00:00:34,328,26,234,02:37:07,253,16,197,02:02:25,202,9,161,01:48:34,296,20,206,00:00:34,328,26,234,02:37:07,253,16,197,02:02:25,202,9,161,01:48:34,296,20,206
244,221,,,,Morris Arthur,06:28:27,5059,15,Male,188,12:36 min/m,14:30:27,00:00:14,153,10,126,02:39:42,267,18,205,02:06:15,226,13,179,01:42:30,241,15,181,00:00:14,153,10,126,02:39:42,267,18,205,02:06:15,226,13,179,01:42:30,241,15,181
245,231,,,,Nick Giguere,06:28:35,4049,38,Male,189,12:36 min/m,14:30:35,00:00:21,222,33,165,02:43:09,294,46,221,02:08:15,235,36,183,01:37:09,204,35,156,00:00:21,222,33,165,02:43:09,294,46,221,02:08:15,235,36,183,01:37:09,204,35,156
246,314,,,,Bruce Knowlton,06:29:56,6069,1,Male,190,12:39 min/m,14:31:56,00:00:29,293,2,214,02:34:19,238,1,187,02:14:59,271,1,202,01:40:37,230,1,175,00:00:29,293,2,214,02:34:19,238,1,187,02:14:59,271,1,202,01:40:37,230,1,175
247,73,,,,Deb Donovan,06:30:46,5059,4,Female,57,12:41 min/m,14:32:46,00:00:16,170,4,38,02:40:05,270,5,64,02:14:24,263,4,66,01:36:16,191,2,45,00:00:16,170,4,38,02:40:05,270,5,64,02:14:24,263,4,66,01:36:16,191,2,45
248,259,,,,Russell Stetzer,06:31:10,3039,90,Male,191,12:42 min/m,14:33:10,00:00:29,292,96,213,02:38:53,265,94,203,02:14:14,260,92,197,01:38:02,210,78,162,00:00:29,292,96,213,02:38:53,265,94,203,02:14:14,260,92,197,01:38:02,210,78,162
249,170,,,,Kimberly Gilsdorf,06:31:12,3039,26,Female,58,12:42 min/m,14:33:12,00:00:39,367,49,111,02:40:36,279,32,68,02:12:25,253,27,59,01:38:10,212,24,49,00:00:39,367,49,111,02:40:36,279,32,68,02:12:25,253,27,59,01:38:10,212,24,49
250,352,,,,Brian Mcclelland,06:31:23,3039,91,Male,192,12:42 min/m,14:33:23,00:00:41,373,110,260,02:34:27,240,89,188,02:05:21,217,83,172,01:51:34,319,97,218,00:00:41,373,110,260,02:34:27,240,89,188,02:05:21,217,83,172,01:51:34,319,97,218
251,12,,,,Agustin Sanchez,06:31:34,2029,43,Male,193,12:42 min/m,14:33:34,00:00:30,299,42,216,02:20:38,164,34,139,02:16:06,273,43,204,01:54:49,343,46,235,00:00:30,299,42,216,02:20:38,164,34,139,02:16:06,273,43,204,01:54:49,343,46,235
252,456,,,,Janet Adam,06:31:46,4049,9,Female,59,12:43 min/m,14:33:46,00:00:17,183,6,42,02:43:02,293,11,73,02:08:28,236,9,53,01:40:16,227,9,54,00:00:17,183,6,42,02:43:02,293,11,73,02:08:28,236,9,53,01:40:16,227,9,54
253,504,,,,Sean Finucane,06:32:25,4049,39,Male,194,12:44 min/m,14:34:25,00:00:45,399,67,270,02:41:58,288,43,217,02:13:42,257,39,196,01:36:45,199,32,152,00:00:45,399,67,270,02:41:58,288,43,217,02:13:42,257,39,196,01:36:45,199,32,152
254,366,,,,Todd Mordhorst,06:33:06,3039,92,Male,195,12:45 min/m,14:35:06,00:00:37,353,106,251,02:40:59,280,99,212,02:05:32,219,84,174,01:46:33,276,90,199,00:00:37,353,106,251,02:40:59,280,99,212,02:05:32,219,84,174,01:46:33,276,90,199
255,279,,,,Steven Gilliland,06:33:35,2029,44,Male,196,12:46 min/m,14:35:35,00:00:26,263,40,192,02:27:23,212,41,172,02:19:12,287,45,211,01:46:59,280,42,201,00:00:26,263,40,192,02:27:23,212,41,172,02:19:12,287,45,211,01:46:59,280,42,201
256,499,,,,Richard Parker,06:34:01,5059,16,Male,197,12:47 min/m,14:36:01,00:00:45,398,34,269,02:40:18,277,20,211,02:08:14,234,14,182,01:45:27,261,16,191,00:00:45,398,34,269,02:40:18,277,20,211,02:08:14,234,14,182,01:45:27,261,16,191
257,471,,,,Lisa Stone,06:34:10,3039,27,Female,60,12:47 min/m,14:36:10,00:00:20,215,22,56,02:40:53,278,31,67,02:10:47,248,24,56,01:42:30,242,31,61,00:00:20,215,22,56,02:40:53,278,31,67,02:10:47,248,24,56,01:42:30,242,31,61
258,42,,,,Brenna Lewis,06:34:34,3039,28,Female,61,12:48 min/m,14:36:34,00:00:29,295,37,81,02:29:43,223,21,45,02:09:04,241,23,54,01:55:45,346,49,110,00:00:29,295,37,81,02:29:43,223,21,45,02:09:04,241,23,54,01:55:45,346,49,110
259,494,,,,Pargol Lakhan,06:34:36,3039,29,Female,62,12:48 min/m,14:36:36,00:00:31,306,38,86,02:42:15,290,34,72,02:11:17,250,25,57,01:41:02,231,28,56,00:00:31,306,38,86,02:42:15,290,34,72,02:11:17,250,25,57,01:41:02,231,28,56
260,27,,,,Anna Gitter,06:36:01,2029,17,Female,63,12:51 min/m,14:38:01,00:00:33,327,23,94,02:37:45,258,18,59,02:14:16,261,17,64,01:43:58,252,15,66,00:00:33,327,23,94,02:37:45,258,18,59,02:14:16,261,17,64,01:43:58,252,15,66
261,267,,,,Scott Johnston,06:36:43,5059,17,Male,198,12:52 min/m,14:38:43,00:00:23,243,15,178,02:38:28,260,17,200,02:11:51,251,17,194,01:46:22,271,18,196,00:00:23,243,15,178,02:38:28,260,17,200,02:11:51,251,17,194,01:46:22,271,18,196
262,334,,,,Shane Curry,06:37:04,3039,93,Male,199,12:53 min/m,14:39:04,00:00:23,239,86,176,02:47:19,316,104,233,02:10:21,246,91,191,01:39:24,220,82,170,00:00:23,239,86,176,02:47:19,316,104,233,02:10:21,246,91,191,01:39:24,220,82,170
263,194,,,,Mary Walker,06:37:09,5059,5,Female,64,12:53 min/m,14:39:09,00:00:15,159,2,32,02:40:05,269,4,63,02:14:26,264,5,67,01:42:37,243,6,62,00:00:15,159,2,32,02:40:05,269,4,63,02:14:26,264,5,67,01:42:37,243,6,62
264,123,,,,Jeff Thimgan,06:38:35,3039,94,Male,200,12:56 min/m,14:40:35,00:00:32,318,101,228,02:43:22,296,101,223,02:10:20,245,90,190,01:44:52,254,89,188,00:00:32,318,101,228,02:43:22,296,101,223,02:10:20,245,90,190,01:44:52,254,89,188
265,154,,,,Katherine Desanto,06:38:47,3039,30,Female,65,12:56 min/m,14:40:47,00:00:23,241,27,64,02:36:41,250,27,56,02:14:49,269,33,69,01:47:17,286,37,84,00:00:23,241,27,64,02:36:41,250,27,56,02:14:49,269,33,69,01:47:17,286,37,84
266,384,,,,Leah Cousin,06:39:17,3039,31,Female,66,12:57 min/m,14:41:17,00:00:22,233,24,61,02:37:22,255,28,57,02:14:09,259,31,63,01:47:45,293,39,88,00:00:22,233,24,61,02:37:22,255,28,57,02:14:09,259,31,63,01:47:45,293,39,88
267,448,,,,Emily Sung,06:39:44,3039,32,Female,67,12:58 min/m,14:41:44,00:00:32,315,40,89,02:44:01,301,36,77,02:13:42,258,30,62,01:42:00,240,30,60,00:00:32,315,40,89,02:44:01,301,36,77,02:13:42,258,30,62,01:42:00,240,30,60
268,393,,,,Allison Pieja,06:40:17,3039,33,Female,68,12:59 min/m,14:42:17,00:00:31,307,39,87,02:47:46,320,40,85,02:11:56,252,26,58,01:40:33,229,27,55,00:00:31,307,39,87,02:47:46,320,40,85,02:11:56,252,26,58,01:40:33,229,27,55
269,138,,,,Jiwon Bae,06:40:31,2029,45,Male,201,13:00 min/m,14:42:31,00:00:24,245,36,179,02:31:04,230,43,182,02:20:24,294,46,215,01:49:03,297,43,207,00:00:24,245,36,179,02:31:04,230,43,182,02:20:24,294,46,215,01:49:03,297,43,207
270,31,,,,Baltina Valente,06:40:41,2029,18,Female,69,13:00 min/m,14:42:41,00:00:34,334,25,97,02:38:42,262,19,61,02:14:18,262,18,65,01:47:39,291,22,86,00:00:34,334,25,97,02:38:42,262,19,61,02:14:18,262,18,65,01:47:39,291,22,86
271,56,,,,Charles Finn,06:40:54,4049,40,Male,202,13:00 min/m,14:42:54,00:00:26,270,44,197,02:42:18,289,44,218,02:21:27,297,45,218,01:37:09,203,34,155,00:00:26,270,44,197,02:42:18,289,44,218,02:21:27,297,45,218,01:37:09,203,34,155
272,107,,,,Greg Cain,06:41:45,5059,18,Male,203,13:02 min/m,14:43:45,00:00:36,346,29,245,02:46:10,311,23,229,02:17:19,277,22,206,01:38:15,213,10,164,00:00:36,346,29,245,02:46:10,311,23,229,02:17:19,277,22,206,01:38:15,213,10,164
273,517,,,,Travis Mullen,06:41:59,3039,95,Male,204,13:03 min/m,14:43:59,00:00:20,217,81,161,02:27:34,215,83,174,02:17:31,279,94,207,01:56:53,350,104,238,00:00:20,217,81,161,02:27:34,215,83,174,02:17:31,279,94,207,01:56:53,350,104,238
274,47,,,,Brian Patenaude,06:42:28,4049,41,Male,205,13:04 min/m,14:44:28,00:00:29,290,48,211,02:43:08,295,47,222,02:25:23,312,52,229,01:33:56,172,22,134,00:00:29,290,48,211,02:43:08,295,47,222,02:25:23,312,52,229,01:33:56,172,22,134
275,372,,,,Andrew Meisler,06:42:34,5059,19,Male,206,13:04 min/m,14:44:34,00:00:18,195,12,147,02:41:20,281,21,213,02:14:57,270,21,201,01:46:16,269,17,194,00:00:18,195,12,147,02:41:20,281,21,213,02:14:57,270,21,201,01:46:16,269,17,194
276,270,,,,Sean Snipes,06:43:21,3039,96,Male,207,13:05 min/m,14:45:21,00:00:32,317,100,227,02:34:39,242,90,190,02:19:02,286,95,210,01:49:38,303,94,211,00:00:32,317,100,227,02:34:39,242,90,190,02:19:02,286,95,210,01:49:38,303,94,211
277,382,,,,Kristen Kovatch,06:43:53,3039,34,Female,70,13:06 min/m,14:45:53,00:00:14,156,14,30,02:13:49,120,4,14,02:42:34,371,50,114,01:47:29,289,38,85,00:00:14,156,14,30,02:13:49,120,4,14,02:42:34,371,50,114,01:47:29,289,38,85
278,420,,,,Amanda Stevens,06:45:09,3039,35,Female,71,13:09 min/m,14:47:09,00:00:37,354,45,103,02:40:11,274,30,66,02:19:28,289,37,78,01:45:29,262,32,71,00:00:37,354,45,103,02:40:11,274,30,66,02:19:28,289,37,78,01:45:29,262,32,71
279,288,,,,Tobin Marsh,06:45:34,5059,20,Male,208,13:10 min/m,14:47:34,00:00:11,120,5,99,02:36:38,249,15,194,02:14:31,265,19,198,01:54:24,340,26,232,00:00:11,120,5,99,02:36:38,249,15,194,02:14:31,265,19,198,01:54:24,340,26,232
280,184,,,,Lucca Criminale,06:47:32,5059,6,Female,72,13:13 min/m,14:49:32,00:00:23,244,6,66,02:52:14,333,8,90,02:18:32,285,6,76,01:36:45,200,3,48,00:00:23,244,6,66,02:52:14,333,8,90,02:18:32,285,6,76,01:36:45,200,3,48
281,144,,,,Jon Karlen,06:48:05,5059,21,Male,209,13:14 min/m,14:50:05,00:00:24,247,16,181,02:40:12,272,19,207,02:14:41,267,20,199,01:53:12,331,25,227,00:00:24,247,16,181,02:40:12,272,19,207,02:14:41,267,20,199,01:53:12,331,25,227
282,515,,,,Todd Al,06:48:14,3039,97,Male,210,13:15 min/m,14:50:14,00:00:30,305,98,220,02:41:31,285,100,216,02:25:29,314,101,230,01:41:13,233,83,176,00:00:30,305,98,220,02:41:31,285,100,216,02:25:29,314,101,230,01:41:13,233,83,176
283,403,,,,Jennifer Yelland,06:48:41,4049,10,Female,73,13:16 min/m,14:50:41,00:00:15,158,1,31,02:41:47,286,9,70,02:16:46,275,10,70,01:50:08,307,16,94,00:00:15,158,1,31,02:41:47,286,9,70,02:16:46,275,10,70,01:50:08,307,16,94
284,196,,,,Mathias Eichler,06:49:08,3039,98,Male,211,13:17 min/m,14:51:08,00:00:28,280,94,204,02:36:54,251,91,195,02:20:41,295,97,216,01:51:32,318,96,217,00:00:28,280,94,204,02:36:54,251,91,195,02:20:41,295,97,216,01:51:32,318,96,217
285,95,,,,Erinn Haley,06:50:03,3039,36,Female,74,13:18 min/m,14:52:03,00:00:42,383,56,119,02:47:35,319,39,84,02:16:46,276,34,71,01:45:41,265,33,72,00:00:42,383,56,119,02:47:35,319,39,84,02:16:46,276,34,71,01:45:41,265,33,72
286,30,,,,Audra Rundle,06:50:50,3039,37,Female,75,13:20 min/m,14:52:50,00:00:34,335,43,98,02:45:12,308,38,81,02:14:35,266,32,68,01:51:02,315,44,100,00:00:34,335,43,98,02:45:12,308,38,81,02:14:35,266,32,68,01:51:02,315,44,100
287,130,,,,Jenny Arm,06:51:34,3039,38,Female,76,13:21 min/m,14:53:34,00:00:42,382,55,118,02:43:51,302,37,78,02:18:08,284,36,75,01:49:34,301,42,91,00:00:42,382,55,118,02:43:51,302,37,78,02:18:08,284,36,75,01:49:34,301,42,91
